_id,CHR
2660,3
2661,12
2662,12
2663,3
2664,4
2665,5
2666,5
2667,6
2668,8
2669,8
2670,1
2671,1
2672,1
2673,10
2674,2
2675,10
2676,10
2677,12
2678,12
2679,3
2680,3
2681,4
2682,4
2683,5
2684,5
2685,6
2686,1
2687,10
2688,10
2689,10
2690,11
2691,2
2692,11
2693,12
2694,3
2695,3
2696,12
2697,4
2698,5
2699,6
2700,6
2701,8
2702,9
2703,1
2704,1
2705,1
2706,1
2707,11
2708,3
2709,12
2710,4
2711,4
2712,5
2713,5
2714,5
2715,6
2716,7
2717,1
2718,1
2719,1
2720,1
2721,1
2722,10
2723,2
2724,3
2725,12
2726,3
2727,3
2728,4
2729,5
2730,5
2731,5
2732,6
2733,6
2734,9
2735,9
2736,1
2737,9
2738,10
2739,10
2740,10
2741,10
2742,11
2743,12
2744,12
2745,12
2746,7
2747,8
2748,9
2749,1
2750,9
2751,10
2752,2
2753,2
2754,2
2755,11
2756,3
2757,12
2758,4
2759,4
2760,5
2761,5
2762,5
2763,6
2764,7
2765,9
2766,1
2767,1
2768,10
2769,1
2770,2
2771,2
2772,10
2773,2
2774,2
2775,11
2776,2
2777,2
2778,12
2779,12
2780,Un
2781,3
2782,4
2783,4
2784,4
2785,4
2786,4
2787,5
2788,5
2789,5
2790,6
2791,8
2792,9
2793,9
2794,1
2795,10
2796,10
2797,2
2798,12
2799,7
2800,8
2801,1
2802,1
2803,10
2804,2
2805,11
2806,2
2807,2
2808,12
2809,3
2810,4
2811,4
2812,5
2813,5
2814,6
2815,6
2816,6
2817,6
2818,8
2819,9
2820,1
2821,9
2822,2
2823,11
2824,3
2825,3
2826,3
2827,3
2828,4
2829,4
2830,4
2831,5
2832,5
2833,6
2834,1
2835,9
2836,9
2837,1
2838,9
2839,2
2840,11
2841,11
2842,3
2843,3
2844,3
2845,12
2846,3
2847,6
2848,7
2849,7
2850,7
2851,7
2852,7
2853,7
2854,8
2855,8
2856,8
2857,1
2858,1
2859,2
2860,3
2861,12
2862,12
2863,3
2864,4
2865,4
2866,5
2867,8
2868,10
2869,1
2870,2
2871,10
2872,2
2873,2
2874,3
2875,12
2876,12
2877,Un
2878,4
2879,4
2880,5
2881,5
2882,6
2883,6
2884,6
2885,1
2886,1
2887,10
2888,1
2889,10
2890,11
2891,12
2892,4
2893,4
2894,5
2895,6
2896,7
2897,8
2898,1
2899,1
2900,2
2901,11
2902,11
2903,3
2904,3
2905,5
2906,8
2907,8
2908,8
2909,9
2910,9
2911,1
2912,9
2913,10
2914,11
2915,12
2916,3
2917,12
2918,4
2919,5
2920,6
2921,7
2922,9
2923,9
2924,9
2925,1
2926,9
2927,1
2928,2
2929,2
2930,12
2931,12
2932,4
2933,4
2934,6
2935,6
2936,7
2937,8
2938,8
2939,9
2940,1
2941,11
2942,11
2943,2
2944,2
2945,3
2946,5
2947,5
2948,6
2949,8
2950,8
2951,9
2952,10
2953,2
2954,2
2955,11
2956,12
2957,12
2958,12
2959,3
2960,3
2961,4
2962,4
2963,5
2964,6
2965,6
2966,6
2967,7
2968,9
2969,9
2970,9
2971,1
2972,10
2973,1
2974,11
2975,3
2976,3
2977,3
2978,4
2979,4
2980,6
2981,1
2982,9
2983,1
2984,11
2985,3
2986,12
2987,3
2988,4
2989,5
2990,5
2991,6
2992,8
2993,8
2994,1
2995,9
2996,9
2997,9
2998,10
2999,10
3000,2
3001,11
3002,11
3003,12
3004,3
3005,12
3006,12
3007,3
3008,4
3009,6
3010,7
3011,7
3012,9
3013,9
3014,9
3015,2
3016,12
3017,12
3018,3
3019,3
3020,5
3021,6
3022,6
3023,7
3024,8
3025,9
3026,1
3027,10
3028,11
3029,2
3030,3
3031,3
3032,4
