_id,GID
1244,101243894
1245,101243901
1246,101243903
1247,101243914
1248,101243917
1249,101243918
1250,101243927
1251,101243930
1252,101243935
1253,101243939
1254,101243943
1255,101243958
1256,101243965
1257,101243974
1258,101243988
1259,101243989
1260,101243998
1261,101244000
1262,101244001
1263,101244002
1264,101244003
1265,101244017
1266,101244021
1267,101244036
1268,101244037
1269,101244038
1270,101244047
1271,101244048
1272,101244059
1273,101244063
1274,101244066
1275,101244073
1276,101244080
1277,101244105
1278,101244107
1279,101244118
1280,101244120
1281,101244135
1282,101244147
1283,101244156
1284,101244162
1285,101244177
1286,101244178
1287,101244184
1288,101244198
1289,101244210
1290,101244218
1291,101244228
1292,101244230
1293,101244233
1294,101244240
1295,101244241
1296,101244264
1297,101244273
1298,101244277
1299,101244292
1300,101244298
1301,101244313
1302,101244327
1303,101244336
1304,101244338
1305,101244343
1306,101244364
1307,101244368
1308,101244376
1309,101244405
1310,101244412
1311,101244413
1312,101244419
1313,101244427
1314,101244430
1315,101244434
1316,101244443
1317,101244445
1318,101244447
1319,101244462
1320,101244467
1321,101244469
1322,101244471
1323,101244479
1324,101244485
1325,101244503
1326,101244523
1327,101244529
1328,101244531
1329,101244532
1330,101244533
1331,101244534
1332,101244546
1333,101244550
1334,101244563
1335,101244564
1336,101244571
1337,101244573
1338,101244582
1339,101244595
1340,101244598
1341,101244605
1342,101244621
1343,101244623
1344,101244637
1345,101244642
1346,101244663
1347,101244664
1348,101244665
1349,101244673
1350,101244685
1351,101244694
1352,101244699
1353,101244701
1354,101244716
1355,101244717
1356,101244722
1357,101244726
1358,101244740
1359,101244750
1360,101244759
1361,101244765
1362,101244772
1363,101244799
1364,101244802
1365,101244805
1366,101244819
1367,101244833
1368,101244840
1369,101244843
1370,101244847
1371,101244849
1372,101244882
1373,101244889
1374,101244894
1375,101244902
1376,101244903
1377,101244904
1378,101244909
1379,101244911
1380,101244918
1381,101244922
1382,101244923
1383,101244931
1384,101244939
1385,101244957
1386,101244963
1387,101244964
1388,101244984
1389,101244985
1390,101245015
1391,101245017
1392,101245021
1393,101245041
1394,101245076
1395,101245077
1396,101245081
