yourlist:M201510162IPPEIITE1	Entry
778327	Q4LDR0
778328	Q52QJ6
778329	Q9ZNU6
778330	Q645N0
778332	Q5DK69
778333	Q3SC82
778334	Q2VY19
778335	K4CEY4
778336	Q0ZPA3
778338	Q5D8D3
778339	K4C5X5
778342	K4DDM8
778344	Q2PQI9
778346	Q1WM08
778347	Q2VY18
778348	K4CXG6
778354	O65818
778355	K4B513
778355	Q6QNU4
778357	Q43776
778358	Q43513
778359	Q4U1I4
778360	Q1A7S9
778364	Q9M6A3
778356,780563	P29535
780563	Q659H5
3950375	A0A0C5CED5
3950375	Q2MI81
3950379	A0A0C5CEE4
3950379	Q2MI67
3950380	A0A0C5CEF9
3950380	Q2MI48
3950381	A0A0C5CUT2
3950381	Q2MI80
3950382	A0A0C5C9U5
3950382	Q2MI79
3950383	Q2MI60
3950384	A0A0C5CED1
3950384	Q2MI88
3950385	A0A0C5C9U0
3950385	Q2MI89
3950386	A0A0C5C9P9
3950386	Q2MIB7
3950388	Q2MI75
3950390	A0A0C5CE96
3950390	Q2MIB6
3950391	A0A0C5C9T7
3950391	Q2MI94
3950392	A0A0C5CEC1
3950392	Q2MIA1
3950393	A0A0C5C9U7
3950393	Q2MI73
3950394	A0A0C5CED2
3950394	Q2MI86
3950396	Q2MI96
3950397	A0A0C5CHG4
3950397	Q2MI65
3950398	A0A0C5CHF2
3950398	Q2MI82
3950399	A0A0C5CED3
3950399	Q2MI83
3950400	Q2MI71
3950401	Q2MI70
3950402	A0A0C5CUU9
3950402	Q2MI47
3950404	Q32516
3950405	A0A0C5C9Q9
3950405	Q2MIA4
3950407	A0A0C5CEE1
3950407	Q2MI72
3950408	A0A0C5CHA2
3950408	Q2MIC0
3950409	A0A0C5CED7
3950409	Q2MI78
3950411	A0A0C5CHH4
3950411	Q2MI49
3950412	A0A0C5CUT9
3950412	Q2MI69
3950413	A0A0C5C9V1
3950413	Q2MI68
3950420	A0A0C5CHB1
3950420	Q2MIB1
3950421	A0A0C5CEE6
3950421	Q2MI64
3950424	A0A0C5CUS1
3950424	Q2MI95
3950425	A0A0C5CHA6
3950425	Q2MIB5
3950427	A0A0C5CUU1
3950427	Q2MI63
3950428	A0A0C5CEF6
3950428	Q2MI51
3950429	Q2MI99
3950450	A0A0C5C9U3
3950450	Q3SC83
3950451	A0A0C5C9W4
3950451	Q2MI46
3950452	A0A0C5CEG0
3950452	Q2MI45
3950453	A0A0C5CEG4
3950453	Q2MI44
3950455	Q2MI76
3950456	A0A0C5C9W1
3950456	P36493
3950457	A0A0C5CEA5
3950457	Q2MIB0
3950458	A0A0C5CUK8
3950458	Q2MIB8
3950459	A0A0C5CUT5
3950459	Q2MI74
3950460	A0A0C5CHE6
3950460	P27065
3950461	A0A0C5CUV5
3950461	Q2MI43
3950462	A0A0C5CUS5
3950462	Q2MI90
3950464	A0A0C5CEA2
3950464	Q2MIB2
3950465	A0A0C5CEC3
3950465	Q2MI98
3950468	A0A0C5CEE9
3950468	Q2MI61
3950395,3950469	A0A0C5CEF4
3950395,3950469	P0CD46
3950395,3950469	P0CD47
3950472	Q2MIB4
3950426,3950473	A0A0C5CEF2
3950426,3950473	Q2MIC2
3950474	Q2MI42
3950475	A0A0C5CHD2
3950475	Q2MIA2
3950476	A0A0C5CHF5
3950476	Q2MI77
3950477	A0A0C5CE94
3950477	Q2MIB9
3950478	A0A0C5CEA8
3950478	Q2MIA8
3950479	A0A0C5C9Q2
3950479	Q2MIB3
3950480	A0A0C5CHE1
3950480	Q2MI97
3950482	A0A0C5CEB3
3950482	Q2MIA3
3950483	A0A0C5CUN5
3950483	Q2MIA5
3950484	A0A0C5CUR3
3950484	Q2MIA0
3950485	A0A0C5CEB2
3950485	Q2MIA6
3950486	Q2MIA9
3950487	A0A0C5CHB4
3950487	Q2MIA7
3950463,16976776	A0A0C5CUU8
3950463,16976776	Q2MI54
3950471,16976779	A0A0C5CUV9
3950471,16976779	Q2MI58
3950470,16976780	Q2MI59
3950376,16976784	Q2MI39
100037489	Q0NZY6
100037489	Q0NZZ1
100037489	Q43147
100037490	K4BB81
100037490	Q0H8U3
100037491	Q0H8U2
100037492	Q0H8U0
100037493	Q0H8T9
100037495	Q06HM7
100037498	Q00LP5
100037499	K4BT46
100037501	K4C4Y5
100037502	Q00LP0
100037503	K4BN39
100037505	A0FK57
100037506	A0MWB6
100037507	A0PDH2
100037508	A1YTV0
100037510	A1IKU3
100037511	A1Z368
100037511	K4ATA3
100037512	A1Z369
100037512	K4C983
100037513	A2I5C9
100037729	A0ZXL1
100037732	A2SXR3
100037733	A3EX92
100037733	K4DAX8
100037736	Q0KFV0
100037737	A0FKE6
100125891	K4CIC1
100125904	Q4U1I5
100125905	P29000
100125905	Q547Q0
100125906	Q4W8D2
100125910	A0A097PJP2
100125910	A5H619
100134875	K4CXT9
100134876	K4CAP2
100134877	A5H1Q7
100134879	K4BVM3
100134880	A5JME7
100134882	A5YVF1
100134882	I7C7U0
100134882	K4BQX5
100134884	A7M6E8
100134889	A4GVL8
100134890	A4GVL9
100134894	A8DUB0
100134895	A7L5C4
100134901	A6N6K7
100134902	A6N6K8
100134903	A6N6K9
100134905	A9LRT7
100134907	A4GVL5
100134911	A7XXZ0
100134914	A8W7B5
100134915	A9LNM9
100135704	K4B6G2
100136876	B0LV36
100136886	A9QPL5
100136887	A9QNE7
100136888	Q50LE0
100147716	B1N669
100147719	K4BY84
100147720	Q43521
100147722	B1Q3F1
100147723	B1Q3F2
100147724	B1Q3F6
100147725	B1Q3F7
100191112	B2MWW5
100191113	B2MWN0
100191114	B2XVS2
100191115	B2Y2G9
100191116	K4BCE5
100191118	B2YHV8
100191119	B2YHW0
100191121	K4BBZ0
100191123	B4YAJ8
100191124	E0YCS8
100191125	B5B3R3
100191125	K4BW33
100191126	B5L8D2
100191127	B5M9E4
100191128	B5M9E5
100191131	K4CE89
100191133	B2Z9Y3
100191134	B2Z9Y4
100191135	B2Z9Y5
100191136	B3IWG3
100191138	B2ZP48
100240705	B6E0Y5
100271699	C0J8F7
100271699	K4DHT3
100301908	B6JU38
100301918	Q00LP6
100301920	B6C9K2
100301921	B6C9K3
100301925	B6CNU5
100301926	B6D1Q3
100301927	B6D1Q5
100301928	B6D1Q6
100301930	K4DHN7
100301931	B8PWQ9
100301933	B7U6X3
100301934	B8XS01
100301936	C0KKU8
100301941	B6C9K0
100301945	K4B5U7
100301981	C4NFG1
100303774	Q42897
100313501	D0UDC1
100313952	D1MAF2
100316872	C5H8K0
100316874	C6K2L0
100316875	C6K2L2
100316877	K4CJJ1
100316879	C6KGT3
100316883	C1K5M3
100316883	R9R6F4
100316884	C1K5M2
100316884	R9R6P8
100316889	C7DTT1
100316892	C8C507
100316894	C8KHU3
100316895	C8KHU4
100316897	D0EWF3
100316898	D0QU16
100316902	C6K2K9
100322875	D2CV80
100322877	D2CV78
100462655	D6QY20
100498663	D9IA29
100500729	E0XN34
100505457	E3UBG3
100505458	E1UWA5
100527965	E5KGD0
100527966	E5KGD3
100527967	D6RT11
100527967	E5KGD5
100527968	E5KGD4
100527969	E5KGD6
100527970	E5KGD8
100527971	E5KGD2
100527972	E5KGD9
100527974	D6RT09
100527976	E5KGD7
100527977	E5LMG0
100529100	E7DN64
100529102	E7DN63
100529102	K4DBJ0
100529103	D3TI69
100529106	E7EC27
100529127	E9NAZ8
100529132	D5KXD2
100529133	D8VNC6
100529134	E2DS92
100529135	E1CFU1
100529136	E3USC7
100529137	E2FHH6
100529137	K4DAA6
100529139	D2Y3T9
100529140	E3WH16
100534642	D7R517
100534642	K4AZN6
100620057	K4B6T1
100736245	G3LY22
100736245	K4CBV1
100736247	G3BGV1
100736432	P21568
100736433	K4C9W3
100736435	Q9AWA9
100736437	Q6T2D2
100736438	A0RZC9
100736439	Q38JD4
100736445	D7R605
100736448	D9IVB5
100736450	E0A8P3
100736462	E3USC3
100736462	K4CIX2
100736463	E3USC6
100736463	K4C0Y0
100736464	E5LBC4
100736466	E5L3R9
100736467	G0XZA5
100736468	F1JYZ5
100736469	F1JYZ6
100736470	F2YHL2
100736472	F6KQN4
100736472	K4DAW7
100736474	F8UF76
100736475	F8UFC2
100736476	K4BWX6
100736477	F8SS63
100736478	F8SS64
100736479	F8SS65
100736480	F8V9M2
100736481	F8V9M3
100736482	K4BAQ4
100736483	G3KGB0
100736484	G3KGB2
100736485	G3KGB3
100736486	G3KGB4
100736487	K4DBM3
100736487	Q0X086
100736493	K4CV04
100736498	Q7PCA9
100736499	K4BJW4
100736499	O04106
100736500	Q94CI8
100736503	Q38JE1
