_id,GO,EVIDENCE,ONTOLOGY
46,GO:0009570,IEA,CC
46,GO:0042803,IEA,MF
46,GO:0009651,IEA,BP
46,GO:0005634,IEA,CC
46,GO:0009506,IEA,CC
46,GO:0005544,IEA,MF
46,GO:0015774,IEA,BP
46,GO:0048046,IEA,CC
46,GO:0009737,IEA,BP
46,GO:0005524,IEA,MF
46,GO:0005829,IEA,CC
46,GO:0009579,IEA,CC
46,GO:0009639,IEA,BP
46,GO:0006979,IEA,BP
46,GO:0005886,IEA,CC
46,GO:0009414,IEA,BP
46,GO:0008270,IEA,MF
46,GO:0009408,IEA,BP
46,GO:0005774,IEA,CC
46,GO:0005509,IEA,MF
46,GO:0005507,IEA,MF
46,GO:0046686,IEA,BP
46,GO:0005618,IEA,CC
46,GO:0004601,IEA,MF
46,GO:0009409,IEA,BP
46,GO:0005739,IEA,CC
47,GO:0005635,IEA,CC
47,GO:0009742,IEA,BP
47,GO:0046686,IEA,BP
47,GO:0045309,IEA,MF
47,GO:0019904,IEA,MF
47,GO:0005829,IEA,CC
47,GO:0009570,IEA,CC
47,GO:0005618,IEA,CC
47,GO:0005886,IEA,CC
47,GO:0005524,IEA,MF
47,GO:0005739,IEA,CC
47,GO:0005774,IEA,CC
47,GO:0048046,IEA,CC
47,GO:0009506,IEA,CC
48,GO:0009986,IEA,CC
48,GO:0005749,IEA,CC
48,GO:0030445,IEA,CC
48,GO:0005875,IEA,CC
48,GO:0008177,IEA,MF
48,GO:0006099,IEA,BP
48,GO:0051536,IEA,MF
48,GO:0008270,IEA,MF
48,GO:0009055,IEA,MF
48,GO:0006121,IEA,BP
49,GO:0010119,IEA,BP
49,GO:0009408,IEA,BP
49,GO:0010053,IEA,BP
49,GO:0050660,IEA,MF
49,GO:0004601,IEA,MF
49,GO:0016174,IEA,MF
49,GO:0052542,IEA,BP
49,GO:0009611,IEA,BP
49,GO:0009873,IEA,BP
49,GO:0009060,IEA,BP
49,GO:0005509,IEA,MF
49,GO:0050832,IEA,BP
49,GO:0043069,IEA,BP
49,GO:0002679,IEA,BP
49,GO:0005506,IEA,MF
49,GO:0033198,IEA,BP
49,GO:0005887,IEA,CC
49,GO:0009055,IEA,MF
49,GO:0050665,IEA,BP
49,GO:0009738,IEA,BP
50,GO:0010286,IEA,BP
50,GO:0006972,IEA,BP
50,GO:0005829,IEA,CC
50,GO:0009644,IEA,BP
50,GO:0006457,IEA,BP
50,GO:0042542,IEA,BP
50,GO:0051082,IEA,MF
51,GO:0009873,IEA,BP
51,GO:0009506,IEA,CC
51,GO:0005886,IEA,CC
51,GO:0005829,IEA,CC
51,GO:0005515,IEA,MF
51,GO:0005525,IEA,MF
51,GO:0005774,IEA,CC
51,GO:0007264,IEA,BP
51,GO:0006184,IEA,BP
51,GO:0006886,IEA,BP
51,GO:0006913,IEA,BP
51,GO:0003924,IEA,MF
53,GO:0005618,IEA,CC
53,GO:0005886,IEA,CC
53,GO:0009648,IEA,BP
53,GO:0009409,IEA,BP
53,GO:0009737,IEA,BP
53,GO:0022626,IEA,CC
53,GO:0009941,IEA,CC
53,GO:0009570,IEA,CC
53,GO:0006995,IEA,BP
53,GO:0042744,IEA,BP
53,GO:0005515,IEA,MF
53,GO:0010319,IEA,CC
53,GO:0005773,IEA,CC
53,GO:0048046,IEA,CC
53,GO:0005739,IEA,CC
53,GO:0046686,IEA,BP
53,GO:0016036,IEA,BP
53,GO:0055114,IEA,BP
53,GO:0009506,IEA,CC
53,GO:0045454,IEA,BP
53,GO:0050897,IEA,MF
53,GO:0020037,IEA,MF
53,GO:0005777,IEA,CC
53,GO:0009970,IEA,BP
53,GO:0008219,IEA,BP
53,GO:0004096,IEA,MF
54,GO:0005516,IEA,MF
54,GO:0009607,IEA,BP
54,GO:0050826,IEA,BP
54,GO:0045893,IEA,BP
54,GO:0044424,IEA,CC
54,GO:0005634,IEA,CC
54,GO:0003677,IEA,MF
54,GO:0006355,IEA,BP
55,GO:0005507,IEA,MF
55,GO:0005777,IEA,CC
55,GO:0009941,IEA,CC
55,GO:0005774,IEA,CC
55,GO:0009651,IEA,BP
55,GO:0008705,IEA,MF
55,GO:0009570,IEA,CC
55,GO:0005886,IEA,CC
55,GO:0009086,IEA,BP
55,GO:0009506,IEA,CC
55,GO:0046686,IEA,BP
55,GO:0005829,IEA,CC
55,GO:0003871,IEA,MF
55,GO:0048046,IEA,CC
55,GO:0010043,IEA,BP
56,GO:0005773,IEA,CC
56,GO:0006950,IEA,BP
57,GO:0009739,IEA,BP
58,GO:0009505,IEA,CC
58,GO:0009828,IEA,BP
58,GO:0009739,IEA,BP
58,GO:0010119,IEA,BP
58,GO:0006949,IEA,BP
58,GO:0010114,IEA,BP
58,GO:0005199,IEA,MF
58,GO:0005576,IEA,CC
58,GO:0009826,IEA,BP
58,GO:0009831,IEA,BP
59,GO:0010029,IEA,BP
59,GO:0048519,IEA,BP
59,GO:0009651,IEA,BP
59,GO:0010223,IEA,BP
59,GO:0031323,IEA,BP
59,GO:0009740,IEA,BP
60,GO:0007067,IEA,BP
60,GO:0005886,IEA,CC
60,GO:0048527,IEA,BP
60,GO:0005515,IEA,MF
60,GO:0005640,IEA,CC
60,GO:0005829,IEA,CC
61,GO:0005515,IEA,MF
61,GO:0004650,IEA,MF
61,GO:0005975,IEA,BP
61,GO:0009505,IEA,CC
61,GO:0046658,IEA,CC
62,GO:0009737,IEA,BP
62,GO:0004872,IEA,MF
62,GO:0009625,IEA,BP
62,GO:0005524,IEA,MF
62,GO:0009651,IEA,BP
62,GO:0052544,IEA,BP
62,GO:0006355,IEA,BP
62,GO:0009690,IEA,BP
62,GO:0042802,IEA,MF
62,GO:0009408,IEA,BP
62,GO:0051740,IEA,MF
62,GO:0005789,IEA,CC
62,GO:0010119,IEA,BP
62,GO:0010105,IEA,BP
62,GO:0042742,IEA,BP
62,GO:0002237,IEA,BP
62,GO:0009733,IEA,BP
62,GO:0050665,IEA,BP
62,GO:0018106,IEA,BP
62,GO:0009739,IEA,BP
62,GO:0009727,IEA,BP
62,GO:0071281,IEA,BP
62,GO:0000155,IEA,MF
62,GO:0004674,IEA,MF
62,GO:0000156,IEA,MF
63,GO:0010105,IEA,BP
63,GO:0009733,IEA,BP
63,GO:0004872,IEA,MF
63,GO:0052544,IEA,BP
63,GO:0009727,IEA,BP
63,GO:0042802,IEA,MF
63,GO:0010119,IEA,BP
63,GO:0050665,IEA,BP
63,GO:0009651,IEA,BP
63,GO:0009625,IEA,BP
63,GO:0006355,IEA,BP
63,GO:0009690,IEA,BP
63,GO:0042742,IEA,BP
63,GO:0018106,IEA,BP
63,GO:0009408,IEA,BP
63,GO:0005789,IEA,CC
63,GO:0005524,IEA,MF
63,GO:0051740,IEA,MF
63,GO:0000155,IEA,MF
63,GO:0000156,IEA,MF
63,GO:0009737,IEA,BP
63,GO:0009739,IEA,BP
63,GO:0004674,IEA,MF
63,GO:0002237,IEA,BP
63,GO:0071281,IEA,BP
64,GO:0009506,IEA,CC
64,GO:0005886,IEA,CC
64,GO:0009624,IEA,BP
